timestamp,FP1,FP2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,Fz,Cz,Pz
0.0000,5.34,8.12,-3.45,7.89,10.23,-2.56,4.67,6.78,8.34,9.12,-4.23,3.67,7.45,-5.89,4.23,-3.45,6.78,11.34,7.56
0.1000,-6.78,14.23,8.67,-5.34,12.56,9.23,-7.45,10.34,11.23,-4.56,6.89,-7.34,13.45,8.23,-9.34,5.67,-8.23,16.45,12.34
0.2000,12.45,-3.67,14.56,-11.23,5.67,-10.78,13.34,2.45,-14.56,15.67,9.34,-4.89,-8.23,14.67,6.45,-12.34,15.23,-6.78,14.89
0.3000,-4.23,17.89,-8.34,21.56,26.45,18.67,22.34,9.56,12.34,-18.23,8.45,14.23,7.56,12.89,18.45,5.34,21.67,32.45,28.34
0.4000,8.67,-9.45,12.34,18.23,31.67,22.34,24.56,-12.67,-7.89,11.45,-12.34,9.67,14.78,8.34,19.23,14.23,23.45,35.67,31.23
0.5000,-11.23,5.67,-13.45,8.78,-6.34,11.45,-14.67,7.23,16.34,-9.78,4.56,-13.89,9.23,-4.56,12.67,7.89,-11.34,8.56,5.34
0.6000,7.89,-12.34,9.45,-14.56,8.23,-7.89,6.78,14.34,-15.23,16.45,-8.67,11.23,-12.56,13.45,-7.34,-9.56,8.67,-14.23,11.78
0.7000,-14.56,8.23,-5.67,11.34,-13.89,14.67,-11.23,-5.89,12.45,-15.67,13.78,-8.45,14.23,-9.67,14.56,11.23,-13.45,5.34,-8.67
0.8000,10.34,-15.67,13.78,-7.89,6.45,-12.34,9.56,12.67,-18.34,12.23,-5.34,14.89,-7.89,15.23,-11.56,-14.23,11.56,-9.78,13.45
0.9000,-7.89,11.56,-16.23,13.45,-10.67,8.23,-14.89,4.56,14.67,-13.45,14.56,-5.23,8.67,-14.34,7.89,12.67,-6.78,13.89,-5.23
1.0000,13.67,-6.45,7.89,-12.34,14.78,-14.56,12.45,-13.23,-12.56,17.89,-11.23,13.67,-11.45,8.56,13.34,-8.45,5.34,14.67,-12.89
1.1000,-9.34,14.78,-11.56,8.67,-3.45,12.89,-8.67,15.34,15.78,-11.34,7.89,-14.56,13.89,5.23,-8.67,14.89,-14.67,3.45,9.78
1.2000,8.23,-13.89,14.67,-15.23,11.34,-9.45,15.23,-6.78,-17.89,14.56,-14.67,8.34,-5.67,14.89,6.23,-3.56,13.78,-11.23,14.56
1.3000,-12.67,6.34,-4.23,11.89,-14.56,15.78,-5.34,13.67,11.23,-16.78,9.45,-12.23,14.56,-7.34,14.78,12.34,-9.23,8.67,-6.45
1.4000,15.89,-8.56,11.34,-8.67,8.67,-6.23,14.78,-14.56,-15.34,13.89,-7.56,15.67,-13.23,12.34,3.56,-15.67,12.45,-5.34,12.23
1.5000,-3.45,12.34,-14.89,14.56,-9.78,13.45,-16.23,5.34,18.67,-8.56,4.67,-11.78,7.34,-12.56,15.89,8.34,-7.56,14.23,-3.78
1.6000,9.78,-14.23,6.45,-13.45,13.56,-11.67,7.89,14.89,-13.45,16.34,-13.89,7.23,-9.34,15.67,-9.45,-12.34,8.89,-13.56,8.45
1.7000,-15.23,4.67,-8.89,9.23,-16.34,14.23,-12.45,-4.56,14.23,-14.89,12.56,-13.45,15.23,3.67,-14.23,13.67,-15.34,6.78,14.34
1.8000,6.45,-16.34,15.23,-6.78,4.89,7.56,5.67,-15.78,-19.45,11.34,-6.23,15.89,-11.67,14.23,-5.67,-8.89,14.67,-12.45,5.67
1.9000,-11.89,7.56,-12.67,15.34,-12.23,5.34,-14.78,8.23,13.56,-17.23,15.34,-4.56,6.89,-13.89,12.34,15.56,-5.23,9.34,-14.23
2.0000,14.34,-9.78,9.56,-11.56,15.67,-13.89,13.56,-11.45,-16.78,15.78,-9.45,14.23,-8.56,11.45,8.45,-11.23,7.89,15.56,-9.45
2.1000,-5.67,15.89,-15.34,7.45,-4.56,12.67,-7.89,16.23,17.34,-10.45,6.78,-15.34,14.67,4.89,-11.56,9.78,-14.89,4.23,12.67
2.2000,11.23,-7.45,7.34,-14.89,12.45,-8.56,15.67,-4.89,-14.23,18.56,-15.23,9.56,-6.34,15.34,5.67,-4.34,13.23,-8.67,6.34
2.3000,-3.56,18.34,-6.78,14.23,25.89,17.34,20.45,12.56,9.67,-19.34,7.23,15.78,9.34,11.23,16.78,6.89,19.45,30.12,26.78
2.4000,9.45,-5.67,13.89,16.78,29.34,20.56,22.67,-8.34,-11.23,13.67,-11.45,8.89,13.56,9.78,17.34,12.56,22.34,33.89,29.45
2.5000,-12.34,6.23,-14.56,5.67,-7.89,9.78,-13.56,8.45,15.89,-12.34,5.89,-14.67,8.34,-5.23,11.45,8.23,-12.56,7.89,4.56
2.6000,7.56,-13.89,8.34,-16.23,9.67,-8.45,7.23,15.56,-14.67,17.23,-9.34,12.45,-13.78,14.89,-8.56,-11.23,9.34,-15.67,12.34
2.7000,-14.23,5.67,-9.45,12.89,-15.34,15.23,-12.78,-3.45,13.56,-16.45,14.23,-9.78,15.67,2.34,-15.67,14.34,-14.78,5.67,-7.89
2.8000,8.89,-15.34,14.23,-7.34,5.78,-13.67,8.34,13.89,-17.89,13.78,-6.89,15.34,-8.45,15.67,-6.34,-9.56,12.34,-10.23,14.67
2.9000,-9.67,12.45,-13.56,14.67,-11.23,6.89,-15.34,5.67,15.23,-14.89,13.45,-6.34,7.89,-14.56,8.23,13.78,-8.45,12.56,-4.89
3.0000,14.56,-8.23,8.67,-13.78,16.34,-15.23,14.89,-12.34,-13.67,16.45,-12.67,14.78,-12.56,9.23,14.56,-12.89,6.23,14.89,-13.56
3.1000,-6.89,15.67,-15.89,8.23,-2.67,13.56,-9.45,16.78,18.23,-11.67,5.34,-15.89,14.23,5.67,-10.23,9.45,-15.67,2.34,11.89
3.2000,12.34,-5.89,6.78,-15.67,13.89,-9.34,16.34,-5.23,-15.67,19.34,-15.89,8.67,-7.23,16.45,7.34,-5.78,14.56,-9.45,7.23
3.3000,-8.45,13.23,-12.34,5.67,-16.78,14.89,-6.23,14.23,12.89,-18.34,9.78,-13.56,12.67,-8.23,15.67,13.45,-10.34,11.78,-16.23
3.4000,15.67,-7.34,13.45,-12.89,9.23,-5.78,15.56,-15.23,-18.45,14.23,-8.23,16.23,-14.89,12.34,4.23,-16.45,15.78,-6.67,13.45
3.5000,-4.23,14.56,-8.67,14.23,-10.56,12.34,-15.78,6.45,16.78,-15.89,14.56,-7.45,8.56,-15.67,13.45,5.89,-4.23,14.56,-5.67
3.6000,8.56,-14.78,14.89,-9.34,15.67,-12.45,8.23,15.34,-14.23,17.56,-12.34,11.89,-13.45,9.78,-8.23,-13.67,9.45,-15.34,14.89
3.7000,-13.78,7.89,-5.23,11.67,-14.23,15.89,-13.67,-6.78,15.34,-17.23,11.45,-14.23,16.34,4.56,-14.89,12.78,-15.89,7.23,5.34
3.8000,5.34,-16.23,12.67,-7.89,3.45,5.67,6.78,-16.45,-19.78,12.56,-7.89,16.78,-9.45,16.23,-3.67,-7.45,13.89,-12.67,15.78
3.9000,-12.56,5.45,-15.78,13.89,-12.89,4.23,-14.23,7.56,14.89,-20.45,16.23,-5.89,5.23,-14.23,12.78,16.34,-8.56,5.89,-12.34
4.0000,7.89,-8.34,8.45,-12.56,24.56,16.45,19.78,-11.34,-16.34,17.89,-6.67,14.23,8.67,12.56,14.23,-9.34,18.67,28.34,25.67
4.1000,-5.34,16.23,-11.34,15.67,27.89,19.23,21.34,14.23,17.56,-9.78,8.45,-12.34,14.23,7.89,17.89,11.56,21.23,31.56,27.89
4.2000,12.67,-6.45,7.23,-14.23,5.67,-8.34,9.56,12.89,-15.45,16.34,-14.56,9.23,-7.89,14.56,-5.34,-4.23,8.67,-12.34,7.45
4.3000,-9.23,13.89,-14.67,7.56,-15.34,14.56,-12.78,5.67,12.34,-17.89,11.34,-14.78,13.56,-6.45,14.23,14.89,-13.56,6.45,-14.67
4.4000,14.56,-9.34,13.23,-11.67,8.45,-6.34,15.89,-14.23,-18.23,14.56,-7.89,15.45,-14.34,13.89,5.67,-16.23,14.67,-7.89,13.23
4.5000,-7.34,15.67,-7.45,13.56,-9.23,11.89,-14.34,8.23,16.45,-13.67,13.89,-8.56,7.23,-15.23,12.56,6.34,-5.67,13.78,-6.89
4.6000,8.23,-14.56,12.34,-8.89,14.23,-13.45,8.56,15.23,-13.89,18.23,-14.23,12.34,-12.67,8.45,-9.78,-12.89,10.23,-15.89,15.34
4.7000,-14.67,6.34,-13.89,14.23,-6.78,16.23,-13.23,-5.34,15.67,-19.56,9.67,-15.34,15.89,-3.89,16.34,11.45,-16.34,4.56,-4.23
4.8000,6.89,-15.78,8.56,-15.34,12.34,-9.67,9.23,16.34,-18.56,14.78,-11.23,9.67,-7.56,16.78,-6.45,-8.67,13.45,-11.23,12.67
4.9000,-10.56,8.34,-15.23,6.89,-14.67,13.89,-15.67,3.89,13.78,-16.34,15.78,-7.23,9.45,-13.67,13.89,15.23,-9.78,8.89,-13.45
