timestamp,FP1,FP2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,Fz,Cz,Pz
0.0000,3.21,7.45,-2.18,5.67,8.12,-1.34,6.89,4.23,12.45,14.67,-3.56,2.89,5.12,-4.23,7.34,-2.67,4.56,9.23,11.34
0.1000,-8.34,12.67,5.45,-3.89,14.23,7.56,-9.12,11.45,18.34,-6.78,4.23,-8.56,11.23,6.45,-7.89,3.12,-5.67,15.34,8.67
0.2000,15.67,-4.23,11.89,-8.56,6.34,-12.45,14.78,3.67,-21.34,19.45,8.67,-5.34,-9.78,12.34,4.56,-11.23,13.45,-7.89,16.23
0.3000,-11.23,8.56,-14.67,12.34,-3.89,15.67,-7.45,8.23,16.78,-24.56,6.34,11.89,-4.56,-8.67,13.45,7.89,-10.34,4.67,-14.56
0.4000,6.78,-15.34,8.23,-11.67,17.45,-4.23,12.56,-13.89,-9.45,15.23,-14.67,7.56,8.34,-15.23,2.67,12.45,-7.89,11.56,-3.45
0.5000,-14.56,3.89,-6.45,15.78,-12.34,8.67,-16.23,6.45,22.67,-11.34,9.23,-14.78,13.56,3.45,-16.78,8.23,14.67,-13.45,7.89
0.6000,9.34,-11.78,16.23,-5.34,4.67,14.56,-3.89,-15.67,-17.89,23.45,-7.34,12.45,-6.78,14.56,-9.23,-5.67,8.34,16.78,-12.34
0.7000,-5.67,14.23,-9.89,8.45,-16.78,3.23,15.34,-4.56,13.45,-18.67,15.78,-6.23,9.45,-7.89,14.67,-13.45,2.56,-8.23,17.56
0.8000,12.45,-7.89,4.56,-14.23,11.56,-15.34,5.67,16.78,-19.23,8.34,-10.56,15.67,-13.89,4.67,8.23,16.34,-12.78,5.89,-9.67
0.9000,-3.89,16.45,-12.34,6.78,-8.45,12.89,-14.56,-7.23,24.56,-13.89,13.45,-9.78,7.23,16.34,-12.56,4.56,9.78,-16.45,13.23
1.0000,7.56,-13.67,15.89,-9.45,13.78,-6.56,8.23,14.56,-15.67,21.78,-5.89,14.34,-10.56,-11.45,16.89,-8.34,-6.45,12.34,-16.78
1.1000,-16.23,5.34,-7.78,13.56,-5.23,16.45,-11.89,2.34,18.23,-16.45,12.67,-3.45,15.67,7.89,-5.34,14.56,-14.23,3.78,8.45
1.2000,11.89,-9.45,13.23,-16.78,9.34,-11.23,16.45,-12.67,-22.45,12.34,-8.23,16.89,-4.23,-14.78,11.56,-2.89,15.67,-9.34,14.67
1.3000,-8.45,14.78,-3.56,7.89,-14.67,8.34,-5.78,15.23,14.56,-23.67,16.45,-12.56,8.89,5.34,-15.67,11.23,-4.56,14.89,-7.23
1.4000,14.67,-6.23,9.45,-12.34,16.23,-13.89,13.34,-8.45,-18.34,17.89,-11.78,8.23,-14.56,12.67,3.45,-15.34,11.23,-5.67,15.89
1.5000,-2.34,11.56,-15.67,4.23,-7.89,15.56,-16.78,6.89,23.67,-9.34,7.34,-15.67,11.45,-3.56,14.23,6.78,-9.89,16.45,-11.56
1.6000,8.89,-14.34,6.78,-15.56,12.45,-4.67,9.23,13.45,-16.78,22.45,-14.56,5.89,-7.34,15.89,-8.67,-12.45,7.56,-11.23,4.34
1.7000,-13.56,7.89,-11.23,9.67,-16.34,11.78,-14.45,-5.56,19.34,-15.78,4.89,-13.23,14.67,-8.45,12.34,9.56,-15.67,8.34,16.78
1.8000,5.23,-16.78,14.56,-6.89,3.56,16.34,7.89,-14.23,-23.56,11.23,-9.67,16.45,-12.89,6.78,-14.56,-7.23,13.45,-14.67,9.23
1.9000,-15.89,2.45,-8.34,16.23,-11.78,5.45,-12.34,9.78,15.67,-21.45,14.23,-4.67,6.34,14.23,-3.89,15.67,-3.78,7.56,-15.34
2.0000,10.45,-12.56,16.89,-3.45,15.67,-14.23,16.78,-11.34,-19.78,18.56,-6.45,14.78,-9.56,-12.34,16.45,-11.89,8.23,15.67,-8.89
2.1000,-7.78,15.34,-5.67,12.78,-4.34,9.67,-8.56,16.45,22.34,-14.67,11.56,-7.89,15.23,4.67,-9.78,13.34,-14.56,2.89,12.45
2.2000,13.34,-8.89,12.45,-14.56,8.89,-12.34,14.23,-3.67,-17.45,23.78,-15.34,12.56,-5.45,15.56,-14.23,2.45,16.78,-12.56,5.67
2.3000,-4.56,13.78,-16.23,5.89,-15.56,14.67,-3.45,12.89,14.23,-19.34,8.67,-15.45,12.34,-6.78,7.56,14.89,-8.45,9.23,-16.45
2.4000,16.78,-3.45,7.23,-11.78,12.34,-7.56,11.67,-15.23,-24.67,12.89,-12.45,9.34,-14.78,13.45,5.34,-8.67,12.34,-7.78,14.23
2.5000,-9.23,16.56,-13.89,8.34,-6.78,16.23,-15.89,4.56,18.56,-16.78,5.34,-14.23,7.89,-15.34,14.78,6.23,-15.23,14.56,-4.89
2.6000,5.67,-14.23,3.56,-16.45,14.56,-9.34,8.45,14.67,-21.34,21.45,-9.78,7.45,-12.34,8.56,-11.67,-14.56,6.89,-16.34,13.67
2.7000,-14.89,6.78,-9.45,13.23,-16.89,12.45,-13.67,-6.78,16.45,-23.56,14.67,-11.56,14.56,2.34,-15.89,11.78,-12.34,5.45,8.34
2.8000,8.34,-15.67,15.78,-4.67,5.23,15.78,4.56,-16.45,-18.78,14.23,-4.89,16.34,-8.67,14.89,-4.56,-6.89,15.56,-12.89,16.45
2.9000,-12.56,4.34,-6.89,15.89,-13.45,3.56,-15.23,8.34,23.89,-8.67,12.34,-5.78,5.23,-13.67,13.45,15.34,-7.78,8.67,-12.23
3.0000,15.23,-11.45,14.34,-7.56,16.78,-14.67,12.89,-12.56,-14.56,22.34,-15.67,13.89,-11.89,7.45,8.67,-12.23,4.34,15.23,-5.67
3.1000,-6.45,14.89,-15.56,11.23,-2.89,8.34,-7.56,15.78,19.23,-17.89,7.45,-16.67,13.45,-4.56,-12.34,8.56,-15.89,3.56,14.89
3.2000,11.78,-7.23,8.67,-15.34,11.45,-12.89,16.34,-4.23,-23.45,15.67,-11.34,9.23,-6.78,16.23,5.89,-4.67,13.67,-8.45,7.23
3.3000,-3.89,12.56,-12.45,4.78,-15.67,15.23,-4.89,13.45,12.34,-22.56,16.78,-8.34,9.67,-12.45,15.78,13.89,-9.56,12.78,-15.89
3.4000,14.56,-5.78,5.23,-13.89,8.34,-5.67,14.78,-15.89,-19.67,18.45,-8.56,15.78,-14.23,5.67,-7.34,-15.23,16.45,-5.34,11.34
3.5000,-10.34,16.23,-9.78,9.45,-12.56,13.45,-16.67,3.78,24.56,-11.23,4.56,-12.34,7.89,14.56,-16.23,5.67,-4.89,15.89,-8.56
3.6000,7.89,-13.45,16.45,-6.23,15.23,-8.78,5.34,14.23,-16.34,23.89,-14.89,6.56,-12.56,8.34,9.45,-13.78,8.23,-14.67,16.78
3.7000,-15.67,3.45,-4.56,14.67,-8.78,16.89,-13.23,-8.45,17.89,-19.67,12.34,-14.89,15.67,-6.23,-13.56,12.45,-16.23,6.34,4.56
3.8000,4.56,-16.78,13.89,-9.34,4.67,6.23,8.67,-16.23,-22.78,13.45,-5.67,16.78,-9.34,15.78,-2.45,-8.34,14.56,-13.23,15.67
3.9000,-13.23,8.67,-16.34,12.56,-14.23,3.45,-15.56,7.89,15.23,-24.34,15.89,-3.45,4.56,-14.67,14.89,16.78,-7.89,4.56,-12.34
4.0000,16.34,-4.89,7.56,-15.78,16.45,-14.56,12.34,-12.67,-18.45,19.78,-9.23,14.56,-13.78,6.45,7.23,-11.56,12.89,-8.78,8.67
4.1000,-5.78,15.23,-13.67,6.34,-3.45,12.78,-6.89,16.34,23.67,-12.56,6.78,-16.23,14.89,-3.45,-14.78,7.34,-15.34,15.67,14.23
4.2000,12.67,-9.56,11.23,-14.45,12.89,-7.34,16.78,-5.56,-15.89,24.23,-16.45,8.89,-7.56,14.23,-6.67,-3.89,7.45,-12.34,5.89
4.3000,-2.34,13.45,-8.89,8.67,-16.78,15.67,-9.34,12.78,13.45,-21.89,11.23,-12.78,12.34,-8.89,15.34,14.56,-12.67,3.89,-16.78
4.4000,14.89,-6.78,15.56,-11.23,7.56,-4.89,14.23,-14.45,-24.23,15.34,-7.56,15.34,-15.67,12.56,4.78,-16.34,16.23,-7.56,12.45
4.5000,-8.56,16.34,-5.34,14.89,-11.34,11.23,-16.34,4.89,19.78,-17.56,13.67,-6.45,6.78,-16.45,13.89,4.23,-3.56,14.23,-7.34
4.6000,6.23,-14.67,12.78,-7.56,14.67,-13.56,7.56,15.67,-17.34,22.67,-14.23,12.67,-11.89,7.34,-11.23,-14.89,9.78,-16.45,16.34
4.7000,-15.34,5.89,-14.23,12.34,-5.89,16.34,-14.67,-7.23,14.56,-23.45,8.34,-15.56,15.34,-4.67,16.78,9.67,-16.78,5.23,-3.45
4.8000,9.78,-12.34,6.45,-16.67,13.23,-8.45,9.89,16.23,-22.67,16.89,-11.89,8.78,-6.23,16.89,-5.34,-7.56,13.56,-11.89,14.78
4.9000,-11.45,9.23,-11.56,5.23,-14.56,14.89,-12.56,3.45,18.34,-14.23,16.23,-9.34,8.45,-13.23,14.56,15.89,-8.34,8.67,-13.56
